ID,Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Speed Limit,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Accident Severity,Traffic Volume,Road Condition,Accident Cause,Region,Vehicle Type
18,UK,2017,August,Saturday,Evening,Urban,Street,Rainy,103.05785419484069,92,0.2247649764253346,0,Moderate,Minor,4854.72080761277,Snow-covered,Weather,Europe,Car
19,China,2002,May,Wednesday,Evening,Urban,Main Road,Foggy,173.86444392521244,33,0.1138922550580431,0,Poor,Minor,2917.259389663297,Wet,Distracted Driving,Europe,Truck
20,Russia,2009,July,Monday,Afternoon,Rural,Highway,Foggy,183.33600542812056,82,0.131107587588733,1,Moderate,Minor,9536.58970675451,Icy,Mechanical Failure,Asia,Car
21,UK,2013,April,Wednesday,Afternoon,Rural,Highway,Rainy,145.1652104310262,66,0.0146467515845839,0,Poor,Minor,9019.035881533808,Dry,Mechanical Failure,Europe,Motorcycle
22,Canada,2004,December,Wednesday,Morning,Urban,Street,Rainy,110.10652624741932,57,0.1009692275445069,1,Good,Moderate,8767.695369561477,Wet,Mechanical Failure,Asia,Bicycle
23,Brazil,2020,October,Monday,Afternoon,Rural,Street,Windy,302.08888889926664,82,0.0919614021789005,1,Poor,Minor,1162.157085280117,Snow-covered,Weather,Asia,Bicycle
24,China,2008,January,Monday,Afternoon,Rural,Street,Windy,201.3572670492981,37,0.0990357672986154,0,Moderate,Moderate,4458.475278267507,Icy,Distracted Driving,Australia,Bicycle
25,Japan,2010,February,Saturday,Night,Urban,Street,Rainy,247.27827698613413,52,0.2304963451063585,0,Moderate,Minor,1597.5954391740365,Snow-covered,Mechanical Failure,Asia,Truck
26,USA,2023,October,Wednesday,Night,Rural,Highway,Clear,114.04103647686551,61,0.0433962612620743,1,Good,Severe,3626.72895812965,Icy,Weather,South America,Motorcycle
27,UK,2007,June,Sunday,Night,Urban,Highway,Clear,106.2517539452571,83,0.2160771865850174,0,Good,Minor,7756.81917279291,Icy,Weather,South America,Bicycle
28,Russia,2024,November,Thursday,Afternoon,Urban,Street,Clear,424.2989301899138,96,0.1626148529287479,1,Moderate,Moderate,778.5617874755692,Dry,Mechanical Failure,North America,Car
29,Japan,2008,April,Thursday,Night,Urban,Street,Rainy,378.21004139859537,58,0.0128078100426772,1,Moderate,Moderate,6903.164250992917,Wet,Drunk Driving,South America,Bicycle
30,USA,2014,October,Sunday,Evening,Rural,Main Road,Foggy,422.8080534351561,98,0.1252199802016301,0,Good,Minor,358.44978245870703,Dry,Weather,Europe,Truck
31,USA,2021,May,Saturday,Afternoon,Urban,Main Road,Foggy,464.38398446544034,114,0.1340761317639595,1,Moderate,Minor,1156.5628658684482,Icy,Distracted Driving,North America,Bicycle
32,Germany,2009,November,Sunday,Evening,Urban,Main Road,Snowy,420.5897282090448,83,0.1598767610767079,1,Moderate,Minor,8577.478249855589,Dry,Distracted Driving,North America,Truck
33,Canada,2002,August,Wednesday,Morning,Rural,Main Road,Windy,337.69740981102785,81,0.0596335600579729,0,Poor,Minor,2526.0309964115977,Wet,Speeding,Asia,Motorcycle
34,India,2004,April,Tuesday,Morning,Urban,Highway,Clear,496.7530209471114,78,0.2491168959353022,1,Poor,Minor,7687.10570560766,Wet,Speeding,North America,Motorcycle
35,Japan,2005,June,Saturday,Evening,Urban,Highway,Windy,256.75552980839745,64,0.0153656181290027,0,Poor,Severe,7215.75091527598,Snow-covered,Mechanical Failure,South America,Truck
36,China,2018,March,Saturday,Afternoon,Rural,Main Road,Clear,353.60823454580725,101,0.1938518367814888,1,Moderate,Minor,3980.420608521353,Icy,Speeding,South America,Truck
37,Canada,2009,April,Saturday,Night,Urban,Highway,Rainy,315.128083443983,72,0.2166595325355168,0,Poor,Minor,5022.489062000085,Dry,Weather,Europe,Truck
38,Brazil,2020,February,Saturday,Morning,Urban,Highway,Snowy,113.16055730234618,62,0.2391639163885647,0,Poor,Minor,6360.530193185315,Dry,Mechanical Failure,North America,Truck
39,India,2016,March,Monday,Morning,Urban,Highway,Snowy,239.5647963299756,97,0.076637895535569,0,Moderate,Moderate,1031.3536177520841,Wet,Speeding,South America,Bicycle
40,UK,2018,April,Sunday,Morning,Rural,Main Road,Foggy,329.55633796231297,50,0.1789834914919743,1,Moderate,Severe,3266.1954472728244,Icy,Drunk Driving,Asia,Car
41,Japan,2006,November,Tuesday,Afternoon,Urban,Street,Windy,87.56267041212169,84,0.1038971566411511,0,Good,Minor,8576.443112585133,Dry,Weather,Europe,Bicycle
42,USA,2013,October,Wednesday,Night,Rural,Main Road,Foggy,250.60328676722776,82,0.1807281530726542,1,Moderate,Moderate,5959.970048312585,Snow-covered,Distracted Driving,Europe,Motorcycle
43,Canada,2020,May,Wednesday,Afternoon,Urban,Highway,Foggy,178.98888790000018,45,0.1786867992223771,1,Moderate,Moderate,3813.490652660128,Dry,Distracted Driving,Australia,Motorcycle
44,Australia,2008,February,Thursday,Afternoon,Rural,Street,Foggy,493.9048371946667,59,0.2123708788841981,0,Poor,Severe,7388.774356166529,Icy,Distracted Driving,South America,Car
45,Germany,2004,April,Monday,Night,Rural,Street,Foggy,78.26785909035743,118,0.1518490326165642,1,Good,Moderate,9117.406776111433,Snow-covered,Weather,Asia,Truck
46,India,2024,December,Sunday,Afternoon,Urban,Street,Windy,238.85223951594688,30,0.2493416097534645,0,Poor,Moderate,3305.4990655388087,Icy,Mechanical Failure,Asia,Bicycle
47,China,2004,July,Sunday,Evening,Rural,Main Road,Rainy,327.25164755666464,57,0.1913741496517741,0,Moderate,Moderate,1523.1155017542171,Icy,Drunk Driving,South America,Bicycle
48,Japan,2021,May,Monday,Afternoon,Rural,Highway,Snowy,366.7958576258268,93,0.0407808835105359,0,Good,Moderate,2795.6021032911226,Wet,Drunk Driving,South America,Car
49,Canada,2022,September,Thursday,Afternoon,Urban,Main Road,Foggy,71.61287512300166,30,0.1329106886235481,0,Good,Moderate,8474.344109088037,Icy,Speeding,Australia,Car
50,Canada,2003,November,Tuesday,Evening,Rural,Main Road,Rainy,67.6908734104397,110,0.0889273357065969,1,Poor,Minor,7736.10407761147,Snow-covered,Mechanical Failure,Europe,Bicycle
51,Russia,2014,December,Thursday,Morning,Urban,Street,Snowy,115.57744772343962,72,0.0991884477899452,1,Good,Moderate,3859.2235332075484,Dry,Weather,Australia,Bicycle
52,Australia,2023,September,Tuesday,Evening,Urban,Street,Clear,485.5019320523333,59,0.1967466953734479,0,Poor,Moderate,3928.995962255661,Wet,Weather,North America,Motorcycle
53,UK,2017,December,Tuesday,Morning,Rural,Highway,Clear,178.99178945676698,110,0.0267115202461969,0,Moderate,Severe,7028.921228407909,Dry,Mechanical Failure,South America,Bicycle
54,UK,2011,April,Sunday,Night,Urban,Main Road,Snowy,293.5752651740943,65,0.0864483508906451,0,Poor,Moderate,8260.980759111848,Icy,Weather,North America,Bicycle
55,Canada,2016,March,Saturday,Afternoon,Rural,Street,Rainy,381.5561358514093,116,0.0017268295107535,1,Poor,Minor,5269.9224468752955,Dry,Distracted Driving,Asia,Truck
56,Brazil,2017,November,Wednesday,Evening,Urban,Main Road,Foggy,403.8199075371006,35,0.2210320825842808,1,Moderate,Severe,3581.2270522374442,Snow-covered,Distracted Driving,Europe,Bicycle
57,UK,2003,January,Sunday,Evening,Rural,Street,Clear,75.00072512053603,38,0.0680098403410036,0,Moderate,Minor,3054.015006222159,Icy,Distracted Driving,Asia,Motorcycle
58,Germany,2020,May,Tuesday,Afternoon,Rural,Highway,Clear,362.1036724347909,75,0.0889251770363303,1,Moderate,Severe,388.7087200607649,Snow-covered,Speeding,Europe,Truck
59,Japan,2009,August,Friday,Morning,Rural,Highway,Foggy,241.68159575485876,112,0.2242426144000093,1,Poor,Moderate,7605.636505204965,Dry,Speeding,Australia,Bicycle
60,Russia,2024,January,Sunday,Evening,Urban,Highway,Foggy,469.170433689115,104,0.1276579331294818,0,Good,Moderate,9625.184024614055,Snow-covered,Weather,South America,Truck
61,USA,2017,January,Saturday,Morning,Urban,Street,Clear,426.6670680631376,72,0.2202819338873534,0,Poor,Severe,8177.455616076271,Dry,Weather,Australia,Motorcycle
62,Brazil,2017,May,Wednesday,Evening,Rural,Highway,Windy,485.6935073535278,36,0.1584204792106398,0,Poor,Minor,8416.283741615225,Dry,Distracted Driving,South America,Truck
63,Australia,2012,July,Wednesday,Afternoon,Urban,Street,Clear,496.0487534683938,30,0.0658965637171918,0,Moderate,Minor,6216.426164165798,Dry,Mechanical Failure,North America,Car
64,Germany,2003,July,Friday,Morning,Urban,Main Road,Snowy,472.802638697252,113,0.2394909093244099,0,Moderate,Moderate,8259.91214745528,Dry,Speeding,North America,Car
65,Australia,2018,July,Sunday,Afternoon,Rural,Street,Rainy,495.151999363273,35,0.0771874446875296,1,Poor,Moderate,7544.529765084061,Snow-covered,Distracted Driving,South America,Truck
66,Japan,2010,April,Sunday,Night,Urban,Street,Rainy,423.4318956164304,49,0.2443203092019798,1,Good,Severe,4580.932745830078,Snow-covered,Drunk Driving,Europe,Bicycle
67,Germany,2020,July,Saturday,Morning,Rural,Main Road,Clear,145.168028819188,45,0.1703226683578703,1,Moderate,Severe,1134.334178814955,Snow-covered,Speeding,Asia,Bicycle
68,UK,2002,September,Monday,Afternoon,Rural,Highway,Foggy,166.96965524879693,58,0.2442718015502368,1,Poor,Severe,617.5754688567047,Dry,Speeding,Australia,Car
69,Canada,2022,November,Tuesday,Night,Rural,Main Road,Rainy,357.4067963143005,64,0.1135108662028464,1,Good,Severe,4379.7669530328985,Wet,Speeding,South America,Motorcycle
70,China,2020,September,Friday,Afternoon,Rural,Main Road,Clear,357.25026162705694,115,0.0353684408268275,1,Moderate,Severe,8050.81430849239,Icy,Speeding,South America,Motorcycle
71,Russia,2016,October,Monday,Evening,Rural,Highway,Snowy,187.18764121024475,43,0.1968862892611755,0,Poor,Severe,8898.805544892833,Dry,Distracted Driving,Europe,Truck
72,India,2022,September,Thursday,Afternoon,Rural,Street,Foggy,372.9213606757552,44,0.0088511208429711,1,Good,Minor,1320.9628949256046,Icy,Weather,North America,Motorcycle
73,India,2023,July,Tuesday,Night,Rural,Main Road,Foggy,465.82928334055913,43,0.0644514564736792,1,Poor,Moderate,9230.283412060959,Icy,Drunk Driving,Australia,Car
74,UK,2008,September,Wednesday,Morning,Rural,Street,Foggy,281.0383062282232,49,0.1473947632550399,0,Poor,Severe,7782.406239167832,Wet,Weather,South America,Car
75,USA,2007,June,Thursday,Morning,Urban,Main Road,Clear,307.42478473146383,72,0.070079257183721,1,Poor,Moderate,8178.425610384947,Wet,Weather,Europe,Car
76,USA,2021,June,Tuesday,Evening,Rural,Highway,Windy,403.23857165153527,94,0.1303751435980119,0,Poor,Moderate,1554.235668679288,Dry,Speeding,Asia,Motorcycle
77,Brazil,2003,December,Tuesday,Afternoon,Rural,Highway,Clear,107.65550438436468,113,0.2437423354884048,1,Moderate,Severe,8621.60102010389,Icy,Weather,South America,Motorcycle
78,Japan,2024,October,Wednesday,Night,Urban,Street,Rainy,320.36665643854474,96,0.1719436292395736,1,Poor,Moderate,5642.017238622596,Icy,Distracted Driving,Asia,Truck
79,India,2022,September,Saturday,Afternoon,Urban,Street,Foggy,89.79919584241202,114,0.1765630320703849,1,Moderate,Minor,106.59129613088733,Dry,Drunk Driving,Australia,Truck
80,Canada,2018,May,Thursday,Afternoon,Urban,Street,Clear,317.43209873310553,116,0.2281888471642723,1,Poor,Moderate,792.3514450510061,Icy,Mechanical Failure,Europe,Car
81,USA,2012,September,Sunday,Evening,Urban,Main Road,Rainy,405.935343873934,117,0.0739334765172108,1,Poor,Moderate,6412.651466597279,Icy,Weather,Australia,Car
82,India,2009,April,Saturday,Afternoon,Urban,Main Road,Rainy,189.190867837564,80,0.1191223343486137,1,Poor,Minor,737.812755214115,Dry,Drunk Driving,Europe,Car
83,Germany,2016,October,Monday,Night,Urban,Main Road,Windy,253.3072001059331,87,0.1443628195062102,1,Moderate,Minor,6511.45018738865,Icy,Speeding,Australia,Truck
84,USA,2010,June,Saturday,Evening,Rural,Main Road,Rainy,173.87905199327048,80,0.1998640058425091,0,Good,Minor,6541.314554100436,Dry,Distracted Driving,Australia,Car
85,Brazil,2018,December,Thursday,Afternoon,Rural,Street,Snowy,489.4636023727256,38,0.0111179167384469,1,Moderate,Severe,7368.565122310591,Dry,Speeding,South America,Truck
86,UK,2022,December,Tuesday,Night,Rural,Main Road,Snowy,121.97533438491106,91,0.0678728739556976,0,Poor,Minor,2357.059718233559,Wet,Speeding,Australia,Motorcycle
87,USA,2010,June,Sunday,Morning,Rural,Highway,Foggy,435.62173332828206,117,0.0547225129721979,1,Good,Moderate,4514.665678431376,Wet,Mechanical Failure,North America,Motorcycle
88,Germany,2016,September,Wednesday,Morning,Urban,Street,Clear,403.7246780483388,34,0.0868637399048286,0,Moderate,Minor,5511.255831541891,Dry,Speeding,North America,Motorcycle
89,Brazil,2020,April,Friday,Morning,Urban,Highway,Foggy,176.65048185318557,101,0.0414337215332322,1,Good,Severe,8392.106509264853,Wet,Speeding,Asia,Car
90,Canada,2004,September,Friday,Morning,Urban,Street,Clear,416.5933140663785,116,0.0989799175040882,0,Poor,Severe,8655.435880975163,Wet,Speeding,South America,Bicycle
91,Japan,2007,March,Friday,Night,Rural,Street,Windy,499.4627404680716,86,0.1916337644978908,1,Good,Moderate,9344.558048978428,Snow-covered,Drunk Driving,South America,Truck
92,China,2020,September,Thursday,Afternoon,Rural,Main Road,Windy,215.52834274690952,108,0.0245624297689147,0,Poor,Moderate,8416.594787050028,Wet,Distracted Driving,Europe,Truck
93,China,2007,March,Thursday,Night,Rural,Main Road,Windy,133.6322297265084,119,0.0955064548777325,1,Moderate,Severe,4733.762725421327,Snow-covered,Weather,South America,Bicycle
94,Russia,2013,May,Saturday,Afternoon,Urban,Highway,Rainy,368.99853727359033,85,0.1824460890810156,0,Good,Minor,6719.812479632081,Dry,Distracted Driving,Australia,Truck
95,Japan,2011,October,Friday,Night,Urban,Highway,Clear,285.29583922071845,95,0.1736908176622734,0,Poor,Minor,692.7490968295198,Wet,Distracted Driving,Europe,Car
96,Brazil,2004,October,Monday,Evening,Urban,Street,Clear,416.8481921028889,51,0.0243740305075474,0,Poor,Minor,8995.78491617124,Dry,Mechanical Failure,North America,Motorcycle
97,Japan,2006,June,Saturday,Evening,Urban,Highway,Clear,203.2073810672248,117,0.1187704579090061,1,Good,Minor,6350.975128123299,Icy,Drunk Driving,South America,Truck
98,Russia,2022,March,Tuesday,Night,Rural,Street,Clear,206.03817459961775,42,0.0669788012351638,1,Good,Minor,6546.9683781742715,Dry,Mechanical Failure,Europe,Bicycle
99,China,2004,June,Tuesday,Afternoon,Urban,Street,Foggy,425.45790529028096,118,0.232773363812835,0,Moderate,Severe,1906.4447933471415,Icy,Drunk Driving,Europe,Car
100,Brazil,2010,April,Friday,Afternoon,Rural,Highway,Snowy,263.6883547429881,54,0.2348569624847001,1,Moderate,Minor,7757.742139770308,Dry,Distracted Driving,Europe,Truck
101,Japan,2010,August,Saturday,Evening,Rural,Main Road,Rainy,376.1919093264531,117,0.234869969030146,1,Poor,Minor,7196.211777905501,Icy,Weather,North America,Bicycle
102,Russia,2017,June,Friday,Morning,Urban,Street,Snowy,241.68203083922117,48,0.0094926177510851,0,Poor,Moderate,2386.9544651535857,Dry,Distracted Driving,South America,Bicycle
103,Germany,2003,October,Thursday,Morning,Urban,Street,Rainy,395.414111925642,89,0.1561484346993476,1,Moderate,Minor,9837.413045116838,Dry,Drunk Driving,Europe,Motorcycle
104,Russia,2008,November,Friday,Evening,Rural,Highway,Snowy,234.57363964223973,103,0.024954484498389,0,Poor,Severe,834.964555753254,Snow-covered,Drunk Driving,North America,Car
105,Japan,2011,January,Wednesday,Night,Rural,Main Road,Rainy,381.0700522730031,107,0.1807615130680341,0,Good,Severe,5952.026034877443,Dry,Weather,Australia,Motorcycle
106,China,2006,March,Tuesday,Morning,Rural,Main Road,Foggy,274.0674202994324,107,0.0717362707339491,1,Good,Severe,5409.00991907538,Dry,Drunk Driving,South America,Truck
107,Japan,2011,December,Thursday,Morning,Rural,Street,Clear,207.70180080612056,69,0.2050775311971817,1,Good,Minor,3308.3345708342226,Icy,Drunk Driving,Asia,Bicycle
108,China,2021,May,Thursday,Evening,Rural,Street,Windy,248.68299835855333,105,0.2139005433475175,0,Poor,Moderate,7031.034223219719,Wet,Drunk Driving,Asia,Motorcycle
109,China,2010,December,Thursday,Night,Rural,Main Road,Snowy,444.5286666962222,100,0.0054957679931438,0,Moderate,Moderate,959.2980958691426,Icy,Speeding,North America,Bicycle
110,Brazil,2019,March,Friday,Night,Rural,Main Road,Windy,276.6726045353241,64,0.059353916910279,0,Moderate,Severe,8824.76427531419,Icy,Drunk Driving,Asia,Bicycle
111,USA,2005,December,Tuesday,Night,Urban,Highway,Rainy,422.6287677427299,56,0.0265150962184932,0,Poor,Moderate,1558.269842553383,Snow-covered,Speeding,North America,Car
112,China,2014,January,Sunday,Night,Rural,Main Road,Rainy,224.66098573018456,101,0.1626630906811236,0,Good,Severe,3201.8089527343745,Wet,Drunk Driving,Asia,Car
113,Australia,2006,January,Saturday,Night,Rural,Highway,Clear,387.8461458396137,116,0.2334290585674825,0,Moderate,Moderate,9530.32203545414,Dry,Distracted Driving,Europe,Motorcycle
114,Germany,2005,February,Friday,Night,Rural,Street,Foggy,233.3220883979917,87,0.0354277808664643,0,Good,Minor,8302.20806368758,Wet,Speeding,Europe,Truck
115,Canada,2006,May,Friday,Night,Rural,Main Road,Rainy,154.4544320346829,51,0.2140121573627989,0,Moderate,Moderate,3181.6745856449097,Icy,Distracted Driving,South America,Truck
116,Russia,2021,March,Tuesday,Night,Urban,Main Road,Snowy,314.6191560949652,53,0.1455381713865692,1,Poor,Moderate,7113.42267106112,Wet,Mechanical Failure,North America,Bicycle
117,Russia,2003,September,Saturday,Afternoon,Urban,Main Road,Windy,127.64534756872952,78,0.0203627889283753,0,Poor,Minor,4814.809651831053,Snow-covered,Weather,Asia,Motorcycle
118,Canada,2004,January,Sunday,Afternoon,Rural,Main Road,Rainy,442.14140531943207,101,0.1727130984974352,1,Poor,Minor,855.6822867363434,Icy,Mechanical Failure,North America,Truck
119,Canada,2001,May,Sunday,Afternoon,Rural,Street,Rainy,154.82415664281825,35,0.1721476608804201,1,Moderate,Moderate,2704.929026656868,Wet,Drunk Driving,North America,Car
120,Japan,2012,April,Thursday,Evening,Urban,Highway,Windy,145.51102029418314,96,0.154560567529278,0,Moderate,Moderate,6475.057646399328,Icy,Speeding,South America,Motorcycle
121,Australia,2007,March,Monday,Evening,Urban,Main Road,Foggy,294.3094579436164,68,0.2386023791005344,1,Good,Moderate,7731.670607258431,Dry,Distracted Driving,North America,Bicycle
122,Canada,2022,March,Wednesday,Night,Urban,Highway,Rainy,275.04853037811927,64,0.0392138987477544,0,Poor,Severe,4204.211575562618,Dry,Drunk Driving,South America,Bicycle
123,China,2021,February,Saturday,Evening,Rural,Highway,Snowy,141.2893386470962,48,0.1771288842572686,1,Good,Minor,3595.354410931646,Dry,Mechanical Failure,North America,Car
124,USA,2018,October,Thursday,Morning,Rural,Main Road,Foggy,260.05650099611114,40,0.1273329055562599,1,Good,Severe,370.493191648586,Wet,Distracted Driving,South America,Motorcycle
125,USA,2003,September,Thursday,Afternoon,Rural,Main Road,Foggy,267.5553701434208,32,0.0524459037580067,0,Good,Minor,887.9732919860852,Dry,Drunk Driving,Asia,Bicycle
126,China,2023,May,Sunday,Night,Urban,Highway,Clear,343.70563164315894,76,0.2288891879981301,1,Moderate,Minor,2939.920988687094,Icy,Speeding,Asia,Bicycle
127,Japan,2022,November,Friday,Evening,Rural,Highway,Clear,184.91156646343504,30,0.055880427680197,0,Poor,Moderate,185.2183629971101,Snow-covered,Drunk Driving,North America,Truck
128,UK,2022,March,Sunday,Morning,Urban,Street,Rainy,240.93770994879628,115,0.2436235847907717,0,Moderate,Moderate,5120.8129306863275,Icy,Distracted Driving,North America,Motorcycle
129,Brazil,2015,July,Saturday,Morning,Urban,Highway,Rainy,68.4436489751957,73,0.0815888483895294,0,Good,Severe,8788.82197536676,Icy,Speeding,Australia,Truck
130,Germany,2019,December,Monday,Night,Rural,Main Road,Windy,173.51229369722174,34,0.2049460261117827,1,Poor,Moderate,7511.2469999531395,Dry,Speeding,North America,Car
131,Brazil,2016,August,Monday,Night,Rural,Main Road,Clear,97.30190388667458,63,0.1576384104972981,1,Moderate,Moderate,6252.8889159986165,Dry,Speeding,Asia,Truck
132,Brazil,2023,December,Wednesday,Evening,Rural,Highway,Windy,243.82014411833123,55,0.0167480966880048,1,Good,Severe,9311.245516517638,Dry,Weather,South America,Motorcycle
133,Germany,2016,August,Tuesday,Afternoon,Urban,Highway,Clear,116.53677067013116,111,0.216925751518288,0,Poor,Severe,9375.055513656984,Icy,Drunk Driving,Asia,Bicycle
134,Australia,2002,January,Wednesday,Night,Rural,Highway,Windy,75.37819178452885,77,0.0955197159082568,0,Good,Severe,2361.2533324024043,Snow-covered,Weather,North America,Truck
135,Brazil,2021,December,Sunday,Night,Urban,Highway,Clear,384.8090543867779,46,0.0865908684100483,0,Good,Minor,1397.6845493899996,Wet,Distracted Driving,Australia,Bicycle
136,China,2019,December,Sunday,Morning,Rural,Highway,Snowy,492.7915794473943,31,0.1535752233711048,1,Poor,Minor,3888.4697584000937,Snow-covered,Mechanical Failure,South America,Bicycle
137,USA,2004,April,Friday,Night,Rural,Street,Clear,456.1718020544549,76,0.0467744403254963,1,Poor,Moderate,112.28664729280891,Dry,Speeding,Australia,Car
138,China,2023,December,Tuesday,Morning,Rural,Highway,Windy,368.31784495271705,32,0.230598591666451,1,Good,Moderate,652.4846333338389,Snow-covered,Drunk Driving,South America,Truck
139,India,2021,December,Sunday,Morning,Rural,Street,Rainy,160.5667628766456,60,0.0731646467865975,0,Good,Moderate,6925.771020894205,Snow-covered,Weather,Australia,Motorcycle
140,Australia,2000,January,Thursday,Evening,Urban,Highway,Rainy,392.2716998872751,68,0.2236985253561171,1,Poor,Moderate,3594.6907678967414,Dry,Drunk Driving,Asia,Motorcycle
141,Germany,2006,July,Saturday,Evening,Rural,Main Road,Foggy,138.5261172568475,53,0.1789661215999305,0,Moderate,Minor,9142.218695744505,Wet,Speeding,South America,Truck
142,China,2013,October,Wednesday,Morning,Urban,Street,Clear,194.46840706534067,36,0.1865581564131749,0,Moderate,Severe,1968.2439436736097,Snow-covered,Drunk Driving,Asia,Bicycle
143,USA,2020,February,Sunday,Evening,Rural,Main Road,Rainy,240.21711195099255,82,0.1843076805854402,1,Moderate,Moderate,5371.949017604733,Icy,Mechanical Failure,South America,Bicycle
144,Germany,2021,May,Friday,Night,Rural,Highway,Clear,118.48784813259388,102,0.0497546937551468,0,Poor,Severe,9589.505063455377,Icy,Drunk Driving,North America,Motorcycle
145,Germany,2011,May,Sunday,Night,Urban,Highway,Rainy,134.83252383470284,58,0.1335264370692131,1,Poor,Moderate,8657.2557706719,Dry,Drunk Driving,North America,Bicycle
146,USA,2014,August,Monday,Night,Urban,Street,Snowy,492.72117163555856,39,0.1855938282253456,0,Poor,Minor,6135.240766723495,Icy,Weather,Australia,Bicycle
147,Russia,2010,June,Tuesday,Morning,Rural,Main Road,Clear,182.88993223106908,93,0.2475824073601668,0,Poor,Moderate,1690.877698978348,Wet,Speeding,Australia,Car
148,Australia,2006,February,Wednesday,Afternoon,Urban,Main Road,Snowy,219.36275136566763,54,0.2286420479144448,0,Poor,Minor,5251.707871231763,Dry,Speeding,Asia,Car
149,India,2008,October,Thursday,Night,Rural,Highway,Snowy,355.11001916532524,64,0.2186660511037271,1,Good,Minor,4262.960491466305,Wet,Weather,North America,Car
150,India,2017,September,Thursday,Night,Rural,Street,Clear,143.9021044317612,111,0.0063925436833658,0,Good,Minor,2621.5381216410833,Dry,Speeding,Europe,Motorcycle
151,Brazil,2007,June,Wednesday,Night,Urban,Main Road,Clear,214.90787930971183,67,0.1436428405133134,1,Good,Severe,5634.5326231763465,Icy,Mechanical Failure,South America,Bicycle
152,USA,2002,March,Wednesday,Morning,Rural,Street,Clear,284.7592411234597,78,0.1794125385170229,1,Poor,Severe,5981.049313450808,Snow-covered,Weather,North America,Truck
153,Canada,2001,March,Thursday,Evening,Rural,Main Road,Snowy,295.3542472993795,93,0.1600930209904781,1,Moderate,Minor,4434.619583745833,Wet,Mechanical Failure,North America,Car
